GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,P1,P2,P3,OT,Q1,Q2,Q3,Q4,PTS,GOALS,SHOTS,POWER_PLAY_GOALS,POWER_PLAY_OPPORTUNITIES,PIM,HITS,BLOCKED,TAKEAWAYS,GIVEAWAYS,SEASON,SEASON_TYPE
2024010071,2024-10-01,DET @ PIT,17,DET,Red Wings,0,0,0,2,0,0,0,2,2,2,19,0,0,0,0,0,0,0,20242025,Regular
2024010071,2024-10-01,DET @ PIT,5,PIT,Penguins,0,0,0,1,0,0,0,1,1,1,44,0,0,0,0,0,0,0,20242025,Regular
2024010072,2024-10-01,NJD @ NYR,1,NJD,Devils,0,0,0,4,0,0,0,4,4,4,34,0,0,0,0,0,0,0,20242025,Regular
2024010072,2024-10-01,NJD @ NYR,3,NYR,Rangers,0,0,0,5,0,0,0,5,5,5,37,0,0,0,0,0,0,0,20242025,Regular
2024010073,2024-10-01,OTT @ MTL,8,MTL,Canadiens,0,0,0,3,0,0,0,3,3,3,32,0,0,0,0,0,0,0,20242025,Regular
2024010073,2024-10-01,OTT @ MTL,9,OTT,Senators,0,0,0,4,0,0,0,4,4,4,16,0,0,0,0,0,0,0,20242025,Regular
2024010074,2024-10-01,PHI @ BOS,6,BOS,Bruins,0,0,0,4,0,0,0,4,4,4,34,0,0,0,0,0,0,0,20242025,Regular
2024010074,2024-10-01,PHI @ BOS,4,PHI,Flyers,0,0,0,1,0,0,0,1,1,1,14,0,0,0,0,0,0,0,20242025,Regular
2024010075,2024-10-02,CHI @ MIN,16,CHI,Blackhawks,0,0,0,2,0,0,0,2,2,2,21,0,0,0,0,0,0,0,20242025,Regular
2024010075,2024-10-02,CHI @ MIN,30,MIN,Wild,0,0,0,7,0,0,0,7,7,7,42,0,0,0,0,0,0,0,20242025,Regular
2024010076,2024-10-02,CBJ @ STL,29,CBJ,Blue Jackets,0,0,0,3,0,0,0,3,3,3,35,0,0,0,0,0,0,0,20242025,Regular
2024010076,2024-10-02,CBJ @ STL,19,STL,Blues,0,0,0,1,0,0,0,1,1,1,23,0,0,0,0,0,0,0,20242025,Regular
2024010077,2024-10-02,VGK @ COL,21,COL,Avalanche,0,0,0,1,0,0,0,1,1,1,28,0,0,0,0,0,0,0,20242025,Regular
2024010077,2024-10-02,VGK @ COL,54,VGK,Golden Knights,0,0,0,6,0,0,0,6,6,6,37,0,0,0,0,0,0,0,20242025,Regular
2024010078,2024-10-02,UTA @ SJS,28,SJS,Sharks,0,0,0,1,0,0,0,1,1,1,20,0,0,0,0,0,0,0,20242025,Regular
2024010078,2024-10-02,UTA @ SJS,59,UTA,Utah Hockey Club,0,0,0,3,0,0,0,3,3,3,25,0,0,0,0,0,0,0,20242025,Regular
2024010079,2024-10-02,FLA @ TBL,13,FLA,Panthers,0,0,0,2,0,0,0,2,2,2,23,0,0,0,0,0,0,0,20242025,Regular
2024010079,2024-10-02,FLA @ TBL,14,TBL,Lightning,0,0,0,1,0,0,0,1,1,1,27,0,0,0,0,0,0,0,20242025,Regular
2024010080,2024-10-02,NSH @ CAR,12,CAR,Hurricanes,0,0,0,4,0,0,0,4,4,4,15,0,0,0,0,0,0,0,20242025,Regular
2024010080,2024-10-02,NSH @ CAR,18,NSH,Predators,0,0,0,6,0,0,0,6,6,6,32,0,0,0,0,0,0,0,20242025,Regular
2024010081,2024-10-03,CGY @ WPG,20,CGY,Flames,0,0,0,2,0,0,0,2,2,2,19,0,0,0,0,0,0,0,20242025,Regular
2024010081,2024-10-03,CGY @ WPG,52,WPG,Jets,0,0,0,5,0,0,0,5,5,5,27,0,0,0,0,0,0,0,20242025,Regular
2024010082,2024-10-03,EDM @ SEA,22,EDM,Oilers,0,0,0,2,0,0,0,2,2,2,30,0,0,0,0,0,0,0,20242025,Regular
2024010082,2024-10-03,EDM @ SEA,55,SEA,Kraken,0,0,0,6,0,0,0,6,6,6,24,0,0,0,0,0,0,0,20242025,Regular
2024010083,2024-10-03,UTA @ ANA,24,ANA,Ducks,0,0,0,5,0,0,0,5,5,5,32,0,0,0,0,0,0,0,20242025,Regular
2024010083,2024-10-03,UTA @ ANA,59,UTA,Utah Hockey Club,0,0,0,2,0,0,0,2,2,2,37,0,0,0,0,0,0,0,20242025,Regular
2024010084,2024-10-03,NJD @ PHI,1,NJD,Devils,0,0,0,4,0,0,0,4,4,4,21,0,0,0,0,0,0,0,20242025,Regular
2024010084,2024-10-03,NJD @ PHI,4,PHI,Flyers,0,0,0,5,0,0,0,5,5,5,29,0,0,0,0,0,0,0,20242025,Regular
2024010085,2024-10-03,PIT @ CBJ,29,CBJ,Blue Jackets,0,0,0,1,0,0,0,1,1,1,34,0,0,0,0,0,0,0,20242025,Regular
